Labeler,Umbrella_Category,Acronym,Category,Adaptation_Name_org,Adaptation_Name,Adaptation_REGEX
Thorid,Accommodate,A,risk communication to residents,adaptation communication,(A) adaptation communication,ood[a-z]* map[a-z]*
Thorid,Accommodate,A,risk communication to residents,adaptation communication,(A) adaptation communication,flood[a-z]* map[a-z]*
Thorid,Accommodate,A,risk communication to residents,adaptation communication,(A) adaptation communication,adaptation communication
Sofia,Accommodate,A,tolerant food production,aquaculture,(A) aquaculture,aquaculture
Thorid,Accommodate,A,knowledge,building of expertise,(A) building of expertise,building [a-z]* expertise
Sofia,Accommodate,A,building codes,building codes,(A) building codes,building code(s|)
Sofia,Accommodate,A,building elevation,building elevation,(A) building elevation,building elevation
Thorid,Accommodate,A,knowledge,building of expertise,(A) building of expertise,building expertise
Sofia,Accommodate,A,stormwater collection,stormwater collection,(A) stormwater collection,collect[a-z]* [a-z]* stormwater
Sofia,Accommodate,A,risk communication to residents,risk communication to residents,(A) risk communication to residents,communicat[a-z]* risk(s|)
Sofia,Accommodate,A,disaster relief,disaster relief,(A) disaster relief,disaster(s|) relief
Sofia,Accommodate,A,stormwater drainage and pumping,stormwater drainage,(A) stormwater drainage,drain[a-z]* [a-z]* stormwater
Sofia,Accommodate,A,accommodation protection,flood proofing,(A) flood proofing,dry(-|\s)proof[a-z]*
Sofia,Accommodate,A,early-warning systems,early-warning systems,(A) early-warning systems,early(\s|-|)warning system(s|)
Thorid,Accommodate,A,risk communication to residents,risk communication to residents,(A) risk communication to residents,educat[a-z]* [a-z]* risk(s|)
Sofia,Accommodate,A,building elevation,elevation of structures,(A) elevation of structures,elevat[a-z]* [a-z]* build[a-z]*
Sofia,Accommodate,A,building elevation,elevation of structures,(A) elevation of structures,elevat[a-z]* [a-z]* home
Sofia,Accommodate,A,building elevation,elevation of structures,(A) elevation of structures,elevat[a-z]* [a-z]* house
Sofia,Accommodate,A,building elevation,elevation of structures,(A) elevation of structures,elevat[a-z]* [a-z]* structure(s|)
Sofia,Accommodate,A,emergency management,emergency management,(A) emergency management,recovery operation(s|)
Sofia,Accommodate,A,emergency management,emergency management,(A) emergency management,disaster(|s) recover[a-z]*
Sofia,Accommodate,A,emergency management,emergency management,(A) emergency management,emergenc[a-z]* manag[a-z]*
Sofia,Accommodate,A,emergency management,emergency management,(A) emergency management,emergenc[a-z]* respons[a-z]*
Thorid,Accommodate,A,knowledge,building of expertise,(A) building of expertise,expertise building
Sofia,Accommodate,A,flood insurance policies,flood insurance policies,(A) flood insurance policies,flood insur[a-z]*
Sofia,Accommodate,A,tolerant food production,flood-tolerant food production,(A) flood-tolerant food production,flood(\s|-|)tolerant agriculture
Sofia,Accommodate,A,tolerant food production,flood-tolerant food production,(A) flood-tolerant food production,flood(\s|-|)tolerant food
Sofia,Accommodate,A,accommodation protection,flood proofing,(A) flood proofing,flood(-|\s)proof[a-z]*
Sofia,Accommodate,A,management of flood control,management of flood control,(A) management of flood control,flood(|-|\s)control management
Sofia,Accommodate,A,building elevation,elevation of structures,(A) elevation of structures,home elevat[a-z]*
Sofia,Accommodate,A,building elevation,elevation of structures,(A) elevation of structures,house elevat[a-z]*
Thorid,Accommodate,A,risk communication to residents,risk communication to residents,(A) risk communication to residents,inform [a-z]* risk(s|)
Sofia,Accommodate,A,emergency management,emergency management,(A) emergency management,manag[a-z]* [a-z]* emergenc[a-z]*
Sofia,Accommodate,A,management of flood control,management of flood control,(A) management of flood control,management [a-z]* flood(|-|\s)control
Sofia,Accommodate,A,permeable surfaces,permeable surfaces,(A) permeable surfaces,permeable surface(|s)
Sofia,Accommodate,A,septic tank permitting,septic tank permitting,(A) septic tank permitting,permit[a-z]* [a-z]* septic tank
Sofia,Accommodate,A,stormwater drainage and pumping,stormwater pumping,(A) stormwater pumping,pump[a-z]* [a-z]* stormwater
Thorid,Accommodate,A,repurposing,repurposing,(A) repurposing,repurpos[a-z]*
Sofia,Accommodate,A,risk communication to residents,risk communication to residents,(A) risk communication to residents,risk communication
Thorid,Accommodate,A,risk communication to residents,risk communication to residents,(A) risk communication to residents,risk inform[a-z]*
Thorid,Accommodate,A,risk communication to residents,risk communication to residents,(A) risk communication to residents,risk(s|) educat[a-z]*
Thorid,Accommodate,A,risk communication to residents,risk communication to residents,(A) risk communication to residents,risk(s|) inform[a-z]*
Sofia,Accommodate,A,tolerant food production,salt-tolerant food production,(A) salt-tolerant food production,salt(\s|-|)tolerant agriculture
Sofia,Accommodate,A,tolerant food production,salt-tolerant food production,(A) salt-tolerant food production,salt(\s|-|)tolerant [a-z]* farm[a-z]*
Sofia,Accommodate,A,tolerant food production,salt-tolerant food production,(A) salt-tolerant food production,salt(\s|-|)tolerant farm[a-z]*
Sofia,Accommodate,A,tolerant food production,salt-tolerant food production,(A) salt-tolerant food production,salt(\s|-|)tolerant food
Sofia,Accommodate,A,septic tank permitting,septic tank permitting,(A) septic tank permitting,septic tank permit[a-z]*
Sofia,Accommodate,A,stormwater collection,stormwater collection,(A) stormwater collection,stormwater collect[a-z]*
Sofia,Accommodate,A,stormwater drainage and pumping,stormwater drainage,(A) stormwater drainage,stormwater drain[a-z]*
Sofia,Accommodate,A,stormwater drainage and pumping,stormwater pumping,(A) stormwater pumping,stormwater pump[a-z]*
Sofia,Accommodate,A,accommodation protection,flood proofing,(A) flood proofing,wet(-|\s)proof[a-z]*
Sofia,Accommodate,A,nature-based solutions,nature-based solutions,(A) nature-based solutions,nature(-|\s|)base(d) solution(s)
Thorid,Accommodate,A,risk communication to residents,adaptation communication,(A) adaptation communication,adaptation education
Sofia,Accommodate,A,flood insurance policies,flood insurance policies,(A) flood insurance policies,ood insur[a-z]*
Sofia,Accommodate,A,tolerant food production,flood-tolerant food production,(A) flood-tolerant food production,ood(\s|-|)tolerant agriculture
Sofia,Accommodate,A,tolerant food production,flood-tolerant food production,(A) flood-tolerant food production,ood(\s|-|)tolerant food
Sofia,Accommodate,A,accommodation protection,flood proofing,(A) flood proofing,ood(-|\s)proof[a-z]*
Sofia,Accommodate,A,management of flood control,management of flood control,(A) management of flood control,ood(|-|\s)control management
Sofia,Accommodate,A,management of flood control,polder management,(A) polder management,polder manag[a-z]*
Sofia,Accommodate,A,management of flood control,polder management,(A) polder management,polder water manag[a-z]*
Sofia,Accommodate,A,management of flood control,management of flood control,(A) management of flood control,management [a-z]* ood(|-|\s)control
Sofia,Accommodate,A,management of flood control,polder management,(A) polder management,flooding depolderisation
